"gene","train_test","tissue","Pearson","name"
"CD45.2","LymphNode1","Lymph Node",0.825052959984496,""
"CD45.2","LymphNode2","Lymph Node",0.838585597602032,""
"CD45.2","Spleen1","Spleen",0.832714512321576,""
"CD45.2","Spleen2","Spleen",0.81913021716833,""
"CD45R","LymphNode1","Lymph Node",0.95723212745529,""
"CD45R","LymphNode2","Lymph Node",0.957921758123131,""
"CD45R","Spleen1","Spleen",0.966305949751887,""
"CD45R","Spleen2","Spleen",0.963812333325963,""
"CD45RB","LymphNode1","Lymph Node",0.896249168221336,""
"CD45RB","LymphNode2","Lymph Node",0.890986765945759,""
"CD45RB","Spleen1","Spleen",0.924346616437988,""
"CD45RB","Spleen2","Spleen",0.922071016152989,""
"CD48","LymphNode1","Lymph Node",0.616350904987713,""
"CD48","LymphNode2","Lymph Node",0.637542884703458,""
"CD48","Spleen1","Spleen",0.810743886644427,""
"CD48","Spleen2","Spleen",0.786972786346242,""
"CD49a","LymphNode1","Lymph Node",0.525719766524462,""
"CD49a","LymphNode2","Lymph Node",0.540210210471758,""
"CD49a","Spleen1","Spleen",0.591903163922996,""
"CD49a","Spleen2","Spleen",0.576830675187933,""
"CD49b","LymphNode1","Lymph Node",0.806927964454523,""
"CD49b","LymphNode2","Lymph Node",0.7895383658818,""
"CD49b","Spleen1","Spleen",0.900806338226392,""
"CD49b","Spleen2","Spleen",0.874396207605064,""
"CD49d","LymphNode1","Lymph Node",0.662080611797335,""
"CD49d","LymphNode2","Lymph Node",0.679140155657317,""
"CD49d","Spleen1","Spleen",0.810078892170906,""
"CD49d","Spleen2","Spleen",0.79682842642242,""
"CD49f","LymphNode1","Lymph Node",0.689043646698829,""
"CD49f","LymphNode2","Lymph Node",0.68832883330416,""
"CD49f","Spleen1","Spleen",0.760561304711991,""
"CD49f","Spleen2","Spleen",0.757547989538819,""
"CD5","LymphNode1","Lymph Node",0.925682555958244,""
"CD5","LymphNode2","Lymph Node",0.932532623378339,""
"CD5","Spleen1","Spleen",0.955383000859109,""
"CD5","Spleen2","Spleen",0.956111804801355,""
"CD51","LymphNode1","Lymph Node",0.668467124943271,""
"CD51","LymphNode2","Lymph Node",0.692419256287148,""
"CD51","Spleen1","Spleen",0.810059430817866,""
"CD51","Spleen2","Spleen",0.78832359056213,""
"CD54","LymphNode1","Lymph Node",0.841398921286682,""
"CD54","LymphNode2","Lymph Node",0.842266645566239,""
"CD54","Spleen1","Spleen",0.857247217034124,""
"CD54","Spleen2","Spleen",0.854205333540558,""
"CD55","LymphNode1","Lymph Node",0.921026579419765,""
"CD55","LymphNode2","Lymph Node",0.927849852134838,""
"CD55","Spleen1","Spleen",0.936037901197138,""
"CD55","Spleen2","Spleen",0.939063424728071,""
"CD61","LymphNode1","Lymph Node",0.779803963993893,""
"CD61","LymphNode2","Lymph Node",0.786548676744225,""
"CD61","Spleen1","Spleen",0.824505848061907,""
"CD61","Spleen2","Spleen",0.818704510720441,""
"CD62L","LymphNode1","Lymph Node",0.853616844646263,""
"CD62L","LymphNode2","Lymph Node",0.858496996167744,""
"CD62L","Spleen1","Spleen",0.89724808122648,""
"CD62L","Spleen2","Spleen",0.876389229074952,""
"CD63","LymphNode1","Lymph Node",0.622629667207983,""
"CD63","LymphNode2","Lymph Node",0.67856601682887,""
"CD63","Spleen1","Spleen",0.70968718783639,""
"CD63","Spleen2","Spleen",0.699295997564623,""
"CD69","LymphNode1","Lymph Node",0.738892382705014,""
"CD69","LymphNode2","Lymph Node",0.742019491223591,""
"CD69","Spleen1","Spleen",0.710317394479904,""
"CD69","Spleen2","Spleen",0.709926353039617,""
"CD71","LymphNode1","Lymph Node",0.87060028964752,""
